arch,activation,degree,acc_mean,acc_std,ce_train_mean,ce_train_std,ce_test_mean,ce_test_std,n_folds,delta_acc,delta_ce_train,delta_ce_test
"{14, 16, 2}",relu,,84.0597014925373,0.3891118863812678,0.32391769423623695,0.0050762180121596825,0.33230721109410294,0.007181404348268669,5,0.5262576008844917,-0.005688234290634808,-0.0068469819006438115
"{14, 16, 2}",bern,3.0,84.58595909342179,0.2279754369270446,0.31822945994560214,0.003309866026708597,0.3254602291934591,0.0014117807143117901,5,0.5262576008844917,-0.005688234290634808,-0.0068469819006438115
"{14, 32, 16, 2}",relu,,84.4776119402985,0.12136262244388947,0.31284084041234494,0.0024723574298785847,0.32690816656471683,0.0018216361313058663,5,0.44002211166390737,-0.0080948857667556,-0.00569049681004008
"{14, 32, 16, 2}",bern,5.0,84.91763405196241,0.125910345848606,0.30474595464558935,0.0034117905937714036,0.32121766975467675,0.0008813856191715263,5,0.44002211166390737,-0.0080948857667556,-0.00569049681004008
"{14, 128, 2}",relu,,84.56826976229961,0.21628214093233086,0.30846404664467225,0.0036066638773716523,0.3269646201191718,0.00171963980053873,5,0.2564953012714284,-0.0010234669990765166,-0.004672380055163461
"{14, 128, 2}",bern,3.0,84.82476506357104,0.14385332609683962,0.30744057964559574,0.0030732296030364778,0.32229224006400836,0.002766714467677926,5,0.2564953012714284,-0.0010234669990765166,-0.004672380055163461
