rule_json_file_name,log_file_name,ckpt,arch,degree,model_test_acc,base_purity,purity_stages,max_depth,fallback_mode,sparsity_k,conflict_alpha,same_cov_alpha,n_active_neurons,avg_regimes_per_neuron,total_candidates,n_rules,train_covered_pct,test_covered_pct,test_covered_rule_acc,test_rule_acc,test_fidelity,test_covered_fidelity,n_conflicts,avg_conditions
kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.1_ca0.1/rules_float.json,,kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 32, 2]",3,84.6987,0.9,1.0:2;0.95:3;0.9:5,3,tree,,0.1,0.1,32,9.34,448,53,94.21,94.01,85.26,82.1,90.37,91.44,308,2.02
kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.1_ca1.0/rules_float.json,,kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 32, 2]",3,84.6987,0.9,1.0:2;0.95:3;0.9:5,3,tree,,1.0,0.1,32,9.34,448,50,92.95,92.6,84.67,82.39,90.72,91.92,156,2.06
kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.3_ca0.1/rules_float.json,,kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 32, 2]",3,84.6987,0.9,1.0:2;0.95:3;0.9:5,3,tree,,0.1,0.3,32,9.34,448,53,87.41,87.15,86.72,83.16,92.07,95.32,136,2.06
kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.3_ca1.0/rules_float.json,,kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 32, 2]",3,84.6987,0.9,1.0:2;0.95:3;0.9:5,3,tree,,1.0,0.3,32,9.34,448,52,87.25,86.99,86.77,83.16,91.94,95.39,134,2.04
kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1/rules_float.json,,kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 32, 2]",3,84.6987,0.9,1.0:2;0.95:3;0.9:5,3,tree,,0.1,0.5,32,9.34,448,45,85.23,84.86,87.18,83.16,91.81,95.66,121,2.04
kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca1.0/rules_float.json,,kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 32, 2]",3,84.6987,0.9,1.0:2;0.95:3;0.9:5,3,tree,,1.0,0.5,32,9.34,448,46,84.89,84.42,87.18,83.39,91.95,95.53,106,2.09
kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca1.0_ca0.1/rules_float.json,,kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 32, 2]",3,84.6987,0.9,1.0:2;0.95:3;0.9:5,3,tree,,0.1,1.0,32,9.34,448,37,82.73,82.4,87.23,83.43,91.74,95.89,78,1.95
kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca1.0_ca1.0/rules_float.json,,kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 32, 2]",3,84.6987,0.9,1.0:2;0.95:3;0.9:5,3,tree,,1.0,1.0,32,9.34,448,36,81.22,80.69,87.61,83.46,91.91,96.09,70,1.94
