seed,alpha_sc,alpha_conf,system,condition,coverage_pct,covered_acc,total_acc
2,0.1,0.2,Rules + CART fallback,Temporal: CA-2022,91.24,77.6,76.6
3,,,ReLU FC teacher,ID: CA-2018 (trained on),,,81.36
3,,,ReLU FC teacher,Geo: MS-2018,,,74.37
3,,,ReLU FC teacher,Geo: WY-2018,,,74.71
3,,,ReLU FC teacher,Geo: WV-2018,,,74.74
3,,,ReLU FC teacher,Temporal: CA-2019,,,80.69
3,,,ReLU FC teacher,Temporal: CA-2021,,,79.91
3,,,ReLU FC teacher,Temporal: CA-2022,,,79.52
3,,,Bernstein student,ID: CA-2018 (trained on),,,81.16
3,,,Bernstein student,Geo: MS-2018,,,74.54
3,,,Bernstein student,Geo: WY-2018,,,75.62
3,,,Bernstein student,Geo: WV-2018,,,75.76
3,,,Bernstein student,Temporal: CA-2019,,,80.49
3,,,Bernstein student,Temporal: CA-2021,,,79.66
3,,,Bernstein student,Temporal: CA-2022,,,79.19
3,,,ReLU student (same size),ID: CA-2018 (trained on),,,80.71
3,,,ReLU student (same size),Geo: MS-2018,,,72.81
3,,,ReLU student (same size),Geo: WY-2018,,,73.5
3,,,ReLU student (same size),Geo: WV-2018,,,73.9
3,,,ReLU student (same size),Temporal: CA-2019,,,79.95
3,,,ReLU student (same size),Temporal: CA-2021,,,79.28
3,,,ReLU student (same size),Temporal: CA-2022,,,78.94
3,0.1,0.2,Rules + CART fallback,ID: CA-2018 (trained on),90.49,80.37,78.72
3,0.1,0.2,Rules + CART fallback,Geo: MS-2018,87.72,78.1,74.88
3,0.1,0.2,Rules + CART fallback,Geo: WY-2018,87.83,74.51,73.5
3,0.1,0.2,Rules + CART fallback,Geo: WV-2018,88.55,78.05,75.6
3,0.1,0.2,Rules + CART fallback,Temporal: CA-2019,90.49,79.03,77.57
3,0.1,0.2,Rules + CART fallback,Temporal: CA-2021,90.56,78.11,76.88
3,0.1,0.2,Rules + CART fallback,Temporal: CA-2022,90.4,77.31,76.2
4,,,ReLU FC teacher,ID: CA-2018 (trained on),,,81.3
4,,,ReLU FC teacher,Geo: MS-2018,,,72.7
4,,,ReLU FC teacher,Geo: WY-2018,,,73.76
4,,,ReLU FC teacher,Geo: WV-2018,,,73.5
4,,,ReLU FC teacher,Temporal: CA-2019,,,80.85
4,,,ReLU FC teacher,Temporal: CA-2021,,,79.89
4,,,ReLU FC teacher,Temporal: CA-2022,,,79.53
4,,,Bernstein student,ID: CA-2018 (trained on),,,81.12
4,,,Bernstein student,Geo: MS-2018,,,73.26
4,,,Bernstein student,Geo: WY-2018,,,74.74
4,,,Bernstein student,Geo: WV-2018,,,74.22
4,,,Bernstein student,Temporal: CA-2019,,,80.87
4,,,Bernstein student,Temporal: CA-2021,,,80.1
4,,,Bernstein student,Temporal: CA-2022,,,79.68
4,,,ReLU student (same size),ID: CA-2018 (trained on),,,80.66
4,,,ReLU student (same size),Geo: MS-2018,,,72.67
4,,,ReLU student (same size),Geo: WY-2018,,,73.69
4,,,ReLU student (same size),Geo: WV-2018,,,73.59
4,,,ReLU student (same size),Temporal: CA-2019,,,80.26
4,,,ReLU student (same size),Temporal: CA-2021,,,79.51
4,,,ReLU student (same size),Temporal: CA-2022,,,79.18
4,0.1,0.2,Rules + CART fallback,ID: CA-2018 (trained on),89.39,80.57,78.63
4,0.1,0.2,Rules + CART fallback,Geo: MS-2018,85.75,77.92,73.36
4,0.1,0.2,Rules + CART fallback,Geo: WY-2018,84.56,75.65,72.29
4,0.1,0.2,Rules + CART fallback,Geo: WV-2018,85.54,77.58,73.29
4,0.1,0.2,Rules + CART fallback,Temporal: CA-2019,89.09,79.79,77.98
4,0.1,0.2,Rules + CART fallback,Temporal: CA-2021,89.58,79.16,77.7
4,0.1,0.2,Rules + CART fallback,Temporal: CA-2022,89.73,78.56,77.13
