arch,activation,degree,acc_mean,acc_std,ce_train_mean,ce_train_std,ce_test_mean,ce_test_std,n_folds,delta_acc,delta_ce_train,delta_ce_test
"{28, 16, 2}",relu,,70.98449823225455,0.19895705821310855,0.551879037466703,0.0018368271365115634,0.5565293900857065,0.0018511073049723692,5,1.075605112863741,-0.013933962230928576,-0.01295167975429612
"{28, 16, 2}",bern,3.0,72.06010334511829,0.16974419940510285,0.5379450752357744,0.0015213515776484746,0.5435777103314103,0.0016133493949112645,5,1.075605112863741,-0.013933962230928576,-0.01295167975429612
"{28, 16, 8, 2}",relu,,71.83573565406581,0.2354562894192951,0.5390997102872397,0.0016911364025217264,0.5445725527541093,0.0019946305265250634,5,0.3848245852597074,-0.009773158357067713,-0.007841134512265646
"{28, 16, 8, 2}",bern,3.0,72.22056023932552,0.15439916400143017,0.529326551930172,0.0016737576971120242,0.5367314182418437,0.0015990739402848995,5,0.3848245852597074,-0.009773158357067713,-0.007841134512265646
"{28, 128, 2}",relu,,72.08593962469403,0.2709220028777448,0.5206759552574114,0.0022641049884093534,0.5386278881208385,0.0022869910927802595,5,0.444655969540392,-0.011705009433575664,-0.005206561814775745
"{28, 128, 2}",bern,3.0,72.53059559423443,0.18220868725152103,0.5089709458238357,0.004002188227268785,0.5334213263060628,0.00106541343608514,5,0.444655969540392,-0.011705009433575664,-0.005206561814775745
