budget_latency_cycles,budget_bram_18k,activation,hidden_layers,degree,alpha,temperature,fold_id,seed,checkpoint_path,stored_accuracy_percent,recomputed_accuracy_percent,absolute_difference_pp
2500,140,relu,"[128, 64]",,0.5,2,4,1004,cover_type/student_model_weights/kd_fc_54x128x64x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1004.pth,93.604277584,93.604277584,0
7500,180,bern,"[256, 128]",5,0.5,2,0,1000,cover_type/student_model_weights/kd_fc_54x256x128x7_bern_deg5_alpha0.5_T2_lr0.006_wd0.0001_seed1000.pth,96.4166054709,96.4166054709,0
7500,180,bern,"[256, 128]",5,0.5,2,1,1001,cover_type/student_model_weights/kd_fc_54x256x128x7_bern_deg5_alpha0.5_T2_lr0.006_wd0.0001_seed1001.pth,96.3810354323,96.3821828529,0.00114742059849
7500,180,bern,"[256, 128]",5,0.5,2,2,1002,cover_type/student_model_weights/kd_fc_54x256x128x7_bern_deg5_alpha0.5_T2_lr0.006_wd0.0001_seed1002.pth,96.4005415825,96.4005415825,0
7500,180,bern,"[256, 128]",5,0.5,2,3,1003,cover_type/student_model_weights/kd_fc_54x256x128x7_bern_deg5_alpha0.5_T2_lr0.006_wd0.0001_seed1003.pth,96.3902147971,96.3902147971,0
7500,180,bern,"[256, 128]",5,0.5,2,4,1004,cover_type/student_model_weights/kd_fc_54x256x128x7_bern_deg5_alpha0.5_T2_lr0.006_wd0.0001_seed1004.pth,96.3672663852,96.3672663852,0
7500,180,relu,"[256, 128]",,0.5,2,0,1000,cover_type/student_model_weights/kd_fc_54x256x128x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1000.pth,95.6065265284,95.6065265284,1.42108547152e-14
7500,180,relu,"[256, 128]",,0.5,2,1,1001,cover_type/student_model_weights/kd_fc_54x256x128x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1001.pth,95.4894896273,95.4894896273,0
7500,180,relu,"[256, 128]",,0.5,2,2,1002,cover_type/student_model_weights/kd_fc_54x256x128x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1002.pth,95.5858729576,95.5858729576,0
7500,180,relu,"[256, 128]",,0.5,2,3,1003,cover_type/student_model_weights/kd_fc_54x256x128x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1003.pth,95.5973471636,95.5973471636,1.42108547152e-14
7500,180,relu,"[256, 128]",,0.5,2,4,1004,cover_type/student_model_weights/kd_fc_54x256x128x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1004.pth,95.8107673949,95.8107673949,0
