arch,activation,degree,acc_mean,acc_std,ce_train_mean,ce_train_std,ce_test_mean,ce_test_std,n_folds,delta_acc,delta_ce_train,delta_ce_test
"{54, 64, 32, 7}",relu,,88.96594455663669,0.8230168091511755,0.28203394788754926,0.02220582576024434,0.3075400778508436,0.019131195240110276,5,2.1259408848907526,-0.061805772010154164,-0.05469183756798718
"{54, 64, 32, 7}",bern,3.0,91.09188544152744,0.2741610195183486,0.2202281758773951,0.008549102009481755,0.2528482402828564,0.0074323672687139205,5,2.1259408848907526,-0.061805772010154164,-0.05469183756798718
"{54, 128, 64, 7}",relu,,93.53130163392693,0.1780177852650899,0.1367263645050771,0.007057144966065564,0.19250488947903932,0.004030294449381352,5,1.5230861024417095,-0.06113064148674631,-0.052315679975490026
"{54, 128, 64, 7}",bern,5.0,95.05438773636864,0.05675615983162697,0.0755957230183308,0.0010608839523029206,0.1401892095035493,0.002835333375896146,5,1.5230861024417095,-0.06113064148674631,-0.052315679975490026
"{54, 256, 128, 7}",relu,,95.61800073434918,0.11754202597046909,0.05531628898621808,0.0029451856399091347,0.13871578305839333,0.0033698146789983745,5,0.7733614833853579,-0.028834058816840747,-0.021943976809852855
"{54, 256, 128, 7}",bern,5.0,96.39136221773454,0.018625714935688705,0.02648223016937733,0.00041440867405840713,0.11677180624854047,0.0008379307350855903,5,0.7733614833853579,-0.028834058816840747,-0.021943976809852855
